Record ID,Email,First name,Last name,Lifecycle stage,Original source,Original source drill-down 1,Create date,Recent deal close date,Recent deal amount,Campaign,Owner,Company name,Country
1,david.atieno1@example.com,David,Atieno,Opportunity,Organic Search,,2025-04-25 00:00:00,2025-05-21,961.78,New Store Launch,Client Success Team,BeautyWorld KE,Kenya
2,esther.kariuki2@example.com,Esther,Kariuki,Lead,Social Media,Social Media,2025-02-07 00:00:00,,,Referral Boost,Client Success Team,BeautyWorld KE,Kenya
3,grace.ouma3@example.com,Grace,Ouma,Marketing Qualified Lead,Social Media,Social Media,2025-07-05 00:00:00,,,Organic Search,Client Success Team,BeautyWorld KE,Kenya
4,nancy.okello4@example.com,Nancy,Okello,Lead,Direct,,2025-08-29 00:00:00,,,New Store Launch,Client Success Team,BeautyWorld KE,Kenya
5,lilian.maina5@example.com,Lilian,Maina,Lead,Referral,,2025-06-03 00:00:00,,,Referral Boost,Mercy Otieno,Coastal Beauty,Kenya
6,fatuma.karanja6@example.com,Fatuma,Karanja,Opportunity,Direct,,2025-08-31 00:00:00,2025-10-08,1590.14,New Store Launch,Client Success Team,UrbanGlow,Kenya
7,esther.otieno7@example.com,Esther,Otieno,Marketing Qualified Lead,Organic Search,,2025-06-03 00:00:00,,,Valentine Push,Jane Wanjiru,Chiffon Cosmetics,Kenya
8,fatuma.wanyoike8@example.com,Fatuma,Wanyoike,Sales Qualified Lead,Organic Search,,2025-11-12 00:00:00,,,Chiffon Brand Awareness,Mercy Otieno,UrbanGlow,Kenya
9,brian.atieno9@example.com,Brian,Atieno,Marketing Qualified Lead,Social Media,Social Media,2025-11-03 00:00:00,,,Chiffon Brand Awareness,John Kamau,BeautyWorld KE,Kenya
10,joseph.okello10@example.com,Joseph,Okello,Customer,Organic Search,,2025-08-04 00:00:00,2025-09-09,2005.26,Valentine Push,John Kamau,Coastal Beauty,Kenya
11,david.okello11@example.com,David,Okello,Opportunity,Referral,,2025-09-22 00:00:00,2025-10-18,1161.43,Holiday Promo Q4,John Kamau,BeautyWorld KE,Kenya
12,aisha.kiptoo12@example.com,Aisha,Kiptoo,Lead,Organic Search,,2025-12-29 00:00:00,,,Referral Boost,Samuel Ndegwa,Nairobi Retailers,Kenya
13,lilian.karanja13@example.com,Lilian,Karanja,Lead,Paid Search,Paid Search,2025-10-08 00:00:00,,,Referral Boost,Client Success Team,BeautyWorld KE,Kenya
14,fatuma.mutua14@example.com,Fatuma,Mutua,Customer,Organic Search,,2025-04-06 00:00:00,2025-04-26,627.47,Referral Boost,Jane Wanjiru,Chiffon Cosmetics,Kenya
15,esther.otieno15@example.com,Esther,Otieno,Sales Qualified Lead,Paid Search,Paid Search,2025-04-29 00:00:00,,,Referral Boost,John Kamau,Nairobi Retailers,Kenya
16,nancy.kamau16@example.com,Nancy,Kamau,Lead,Email,,2025-08-11 00:00:00,,,Valentine Push,Samuel Ndegwa,Chiffon Cosmetics,Kenya
17,grace.ouma17@example.com,Grace,Ouma,Sales Qualified Lead,Email,,2025-08-12 00:00:00,,,New Store Launch,Client Success Team,Nairobi Retailers,Kenya
18,brian.maina18@example.com,Brian,Maina,Customer,Paid Search,Paid Search,2025-04-30 00:00:00,2025-05-23,1874.12,Seasonal Email,John Kamau,Coastal Beauty,Kenya
19,joseph.kamau19@example.com,Joseph,Kamau,Opportunity,Organic Search,,2025-04-20 00:00:00,2025-05-04,1560.27,Referral Program,Client Success Team,UrbanGlow,Kenya
20,nancy.wanyoike20@example.com,Nancy,Wanyoike,Customer,Organic Search,,2025-03-09 00:00:00,2025-04-06,1043.0,Referral Program,Samuel Ndegwa,Nairobi Retailers,Kenya
21,grace.okello21@example.com,Grace,Okello,Opportunity,Referral,,2025-09-06 00:00:00,2025-09-21,804.99,Seasonal Email,Client Success Team,Nairobi Retailers,Kenya
22,david.mutua22@example.com,David,Mutua,Lead,Email,,2025-01-16 00:00:00,,,New Store Launch,Jane Wanjiru,BeautyWorld KE,Kenya
23,peter.kamau23@example.com,Peter,Kamau,Opportunity,Email,,2025-01-03 00:00:00,2025-02-18,1179.35,Referral Program,Jane Wanjiru,Coastal Beauty,Kenya
24,peter.okello24@example.com,Peter,Okello,Lead,Paid Search,Paid Search,2025-12-12 00:00:00,,,Holiday Promo Q4,John Kamau,Coastal Beauty,Kenya
25,fatuma.mwangi25@example.com,Fatuma,Mwangi,Customer,Direct,,2025-01-31 00:00:00,2025-02-09,2024.25,Valentine Push,John Kamau,Nairobi Retailers,Kenya
26,peter.kamau26@example.com,Peter,Kamau,Lead,Organic Search,,2025-04-15 00:00:00,,,New Store Launch,Jane Wanjiru,Nairobi Retailers,Kenya
27,grace.kamau27@example.com,Grace,Kamau,Opportunity,Direct,,2025-07-16 00:00:00,2025-09-03,1279.88,Referral Program,Client Success Team,BeautyWorld KE,Kenya
28,peter.njoroge28@example.com,Peter,Njoroge,Customer,Paid Search,Paid Search,2025-07-19 00:00:00,2025-09-03,2043.0,Holiday Promo Q4,John Kamau,BeautyWorld KE,Kenya
29,nancy.njoroge29@example.com,Nancy,Njoroge,Lead,Paid Search,Paid Search,2025-08-16 00:00:00,,,Chiffon Brand Awareness,Client Success Team,Nairobi Retailers,Kenya
30,michael.mutua30@example.com,Michael,Mutua,Sales Qualified Lead,Referral,,2025-09-14 00:00:00,,,Referral Boost,Samuel Ndegwa,UrbanGlow,Kenya
31,aisha.maina31@example.com,Aisha,Maina,Marketing Qualified Lead,Organic Search,,2025-12-10 00:00:00,,,New Store Launch,Samuel Ndegwa,Nairobi Retailers,Kenya
32,mary.wanyoike32@example.com,Mary,Wanyoike,Lead,Organic Search,,2025-03-12 00:00:00,,,Chiffon Brand Awareness,Mercy Otieno,UrbanGlow,Kenya
33,esther.okello33@example.com,Esther,Okello,Marketing Qualified Lead,Referral,,2025-09-03 00:00:00,,,Valentine Push,Client Success Team,Coastal Beauty,Kenya
34,david.mutua34@example.com,David,Mutua,Lead,Email,,2025-05-31 00:00:00,,,Holiday Promo Q4,Client Success Team,Coastal Beauty,Kenya
35,mary.njoroge35@example.com,Mary,Njoroge,Lead,Direct,,2025-03-24 00:00:00,,,Valentine Push,Samuel Ndegwa,Chiffon Cosmetics,Kenya
36,brian.maina36@example.com,Brian,Maina,Lead,Social Media,Social Media,2025-09-20 00:00:00,,,Chiffon Brand Awareness,Client Success Team,UrbanGlow,Kenya
37,brian.njoroge37@example.com,Brian,Njoroge,Lead,Organic Search,,2025-11-10 00:00:00,,,Chiffon Brand Awareness,John Kamau,BeautyWorld KE,Kenya
38,esther.mwangi38@example.com,Esther,Mwangi,Opportunity,Paid Search,Paid Search,2025-09-08 00:00:00,2025-10-08,1673.04,Referral Program,Mercy Otieno,Coastal Beauty,Kenya
39,david.maina39@example.com,David,Maina,Sales Qualified Lead,Organic Search,,2025-07-08 00:00:00,,,Referral Boost,Mercy Otieno,Nairobi Retailers,Kenya
40,wanjiru.mwangi40@example.com,Wanjiru,Mwangi,Customer,Organic Search,,2025-01-06 00:00:00,2025-01-22,2300.32,Chiffon Brand Awareness,Samuel Ndegwa,Nairobi Retailers,Kenya
41,fatuma.karanja41@example.com,Fatuma,Karanja,Marketing Qualified Lead,Paid Search,Paid Search,2025-02-21 00:00:00,,,Organic Search,Samuel Ndegwa,Chiffon Cosmetics,Kenya
42,wanjiru.karanja42@example.com,Wanjiru,Karanja,Lead,Organic Search,,2025-04-05 00:00:00,,,Holiday Promo Q4,Samuel Ndegwa,UrbanGlow,Kenya
43,paul.ouma43@example.com,Paul,Ouma,Sales Qualified Lead,Direct,,2025-03-01 00:00:00,,,Organic Search,Jane Wanjiru,BeautyWorld KE,Kenya
44,nancy.ouma44@example.com,Nancy,Ouma,Marketing Qualified Lead,Paid Search,Paid Search,2025-02-17 00:00:00,,,Chiffon Brand Awareness,Client Success Team,BeautyWorld KE,Kenya
45,wanjiru.mwangi45@example.com,Wanjiru,Mwangi,Marketing Qualified Lead,Referral,,2025-01-30 00:00:00,,,Chiffon Brand Awareness,Mercy Otieno,Nairobi Retailers,Kenya
46,mary.ouma46@example.com,Mary,Ouma,Marketing Qualified Lead,Organic Search,,2025-12-24 00:00:00,,,Newsletter,Mercy Otieno,UrbanGlow,Kenya
47,mary.wanyoike47@example.com,Mary,Wanyoike,Customer,Direct,,2025-03-02 00:00:00,2025-04-30,912.27,Holiday Promo Q4,Client Success Team,Coastal Beauty,Kenya
48,lilian.mwangi48@example.com,Lilian,Mwangi,Sales Qualified Lead,Email,,2025-01-27 00:00:00,,,Chiffon Brand Awareness,John Kamau,BeautyWorld KE,Kenya
49,mary.mutua49@example.com,Mary,Mutua,Customer,Referral,,2025-07-31 00:00:00,2025-08-18,713.02,Valentine Push,Samuel Ndegwa,Chiffon Cosmetics,Kenya
50,michael.kiptoo50@example.com,Michael,Kiptoo,Opportunity,Direct,,2025-09-30 00:00:00,2025-10-16,647.04,Referral Program,Mercy Otieno,BeautyWorld KE,Kenya
51,lilian.njoroge51@example.com,Lilian,Njoroge,Marketing Qualified Lead,Paid Search,Paid Search,2025-08-18 00:00:00,,,Holiday Promo Q4,Mercy Otieno,Chiffon Cosmetics,Kenya
52,joseph.kamau52@example.com,Joseph,Kamau,Customer,Organic Search,,2025-01-21 00:00:00,2025-03-05,1794.3,Chiffon Brand Awareness,Samuel Ndegwa,Coastal Beauty,Kenya
53,fatuma.otieno53@example.com,Fatuma,Otieno,Opportunity,Referral,,2025-07-19 00:00:00,2025-08-16,1531.65,Holiday Promo Q4,John Kamau,Chiffon Cosmetics,Kenya
54,peter.kiptoo54@example.com,Peter,Kiptoo,Opportunity,Referral,,2025-03-01 00:00:00,2025-04-07,1215.44,Referral Program,Client Success Team,Coastal Beauty,Kenya
55,brian.mwangi55@example.com,Brian,Mwangi,Marketing Qualified Lead,Direct,,2025-01-23 00:00:00,,,Holiday Promo Q4,Samuel Ndegwa,UrbanGlow,Kenya
56,david.atieno56@example.com,David,Atieno,Lead,Organic Search,,2025-05-25 00:00:00,,,Chiffon Brand Awareness,Samuel Ndegwa,Chiffon Cosmetics,Kenya
57,lilian.karanja57@example.com,Lilian,Karanja,Opportunity,Referral,,2025-08-08 00:00:00,2025-09-30,1211.01,Referral Program,Samuel Ndegwa,Nairobi Retailers,Kenya
58,fatuma.ouma58@example.com,Fatuma,Ouma,Marketing Qualified Lead,Paid Search,Paid Search,2025-03-18 00:00:00,,,New Store Launch,Client Success Team,Nairobi Retailers,Kenya
59,brian.okello59@example.com,Brian,Okello,Lead,Organic Search,,2025-08-29 00:00:00,,,New Store Launch,Jane Wanjiru,BeautyWorld KE,Kenya
60,peter.wanyoike60@example.com,Peter,Wanyoike,Marketing Qualified Lead,Direct,,2025-04-22 00:00:00,,,Referral Boost,Client Success Team,Chiffon Cosmetics,Kenya
61,joseph.kamau61@example.com,Joseph,Kamau,Lead,Organic Search,,2025-01-03 00:00:00,,,Organic Search,Client Success Team,BeautyWorld KE,Kenya
62,mary.kiptoo62@example.com,Mary,Kiptoo,Customer,Social Media,Social Media,2025-08-08 00:00:00,2025-09-04,1958.46,Referral Program,John Kamau,Coastal Beauty,Kenya
63,fatuma.atieno63@example.com,Fatuma,Atieno,Lead,Email,,2025-07-30 00:00:00,,,Holiday Promo Q4,Mercy Otieno,BeautyWorld KE,Kenya
64,nancy.okello64@example.com,Nancy,Okello,Marketing Qualified Lead,Social Media,Social Media,2025-11-09 00:00:00,,,Newsletter,Samuel Ndegwa,Nairobi Retailers,Kenya
65,grace.mutua65@example.com,Grace,Mutua,Marketing Qualified Lead,Social Media,Social Media,2025-01-14 00:00:00,,,New Store Launch,John Kamau,Nairobi Retailers,Kenya
66,mary.kamau66@example.com,Mary,Kamau,Lead,Paid Search,Paid Search,2025-06-13 00:00:00,,,Referral Boost,Jane Wanjiru,BeautyWorld KE,Kenya
67,wanjiru.kamau67@example.com,Wanjiru,Kamau,Opportunity,Social Media,Social Media,2025-09-07 00:00:00,2025-10-05,1423.5,Valentine Push,John Kamau,Coastal Beauty,Kenya
68,grace.atieno68@example.com,Grace,Atieno,Marketing Qualified Lead,Paid Search,Paid Search,2025-02-10 00:00:00,,,Chiffon Brand Awareness,Mercy Otieno,Nairobi Retailers,Kenya
69,aisha.mutua69@example.com,Aisha,Mutua,Opportunity,Referral,,2025-10-03 00:00:00,2025-10-27,961.69,Holiday Promo Q4,Jane Wanjiru,Chiffon Cosmetics,Kenya
70,james.wanyoike70@example.com,James,Wanyoike,Lead,Organic Search,,2025-05-09 00:00:00,,,Organic Search,John Kamau,BeautyWorld KE,Kenya
71,nancy.wanyoike71@example.com,Nancy,Wanyoike,Sales Qualified Lead,Referral,,2025-11-04 00:00:00,,,Valentine Push,John Kamau,Nairobi Retailers,Kenya
72,wanjiru.kariuki72@example.com,Wanjiru,Kariuki,Sales Qualified Lead,Direct,,2025-08-20 00:00:00,,,Referral Boost,Samuel Ndegwa,BeautyWorld KE,Kenya
73,nancy.kiptoo73@example.com,Nancy,Kiptoo,Sales Qualified Lead,Direct,,2025-06-23 00:00:00,,,Referral Boost,Jane Wanjiru,Coastal Beauty,Kenya
74,nancy.otieno74@example.com,Nancy,Otieno,Customer,Referral,,2025-01-26 00:00:00,2025-02-20,1623.01,Holiday Promo Q4,Mercy Otieno,Nairobi Retailers,Kenya
75,aisha.kiptoo75@example.com,Aisha,Kiptoo,Marketing Qualified Lead,Paid Search,Paid Search,2025-10-19 00:00:00,,,Chiffon Brand Awareness,Jane Wanjiru,Coastal Beauty,Kenya
76,james.okello76@example.com,James,Okello,Sales Qualified Lead,Direct,,2025-08-29 00:00:00,,,Valentine Push,Samuel Ndegwa,Chiffon Cosmetics,Kenya
77,joseph.maina77@example.com,Joseph,Maina,Sales Qualified Lead,Social Media,Social Media,2025-12-28 00:00:00,,,New Store Launch,Samuel Ndegwa,Nairobi Retailers,Kenya
78,peter.ouma78@example.com,Peter,Ouma,Customer,Social Media,Social Media,2025-11-30 00:00:00,2025-12-03,1131.96,Valentine Push,Client Success Team,Nairobi Retailers,Kenya
79,brian.okello79@example.com,Brian,Okello,Marketing Qualified Lead,Paid Search,Paid Search,2025-11-30 00:00:00,,,Holiday Promo Q4,Client Success Team,UrbanGlow,Kenya
80,paul.ouma80@example.com,Paul,Ouma,Customer,Direct,,2025-12-27 00:00:00,2025-12-24,1772.39,Holiday Promo Q4,Jane Wanjiru,Chiffon Cosmetics,Kenya
81,joseph.okello81@example.com,Joseph,Okello,Opportunity,Organic Search,,2025-11-13 00:00:00,2025-12-31,668.42,New Store Launch,Mercy Otieno,Coastal Beauty,Kenya
82,esther.njoroge82@example.com,Esther,Njoroge,Lead,Referral,,2025-05-11 00:00:00,,,Organic Search,John Kamau,Chiffon Cosmetics,Kenya
83,esther.atieno83@example.com,Esther,Atieno,Marketing Qualified Lead,Referral,,2025-06-17 00:00:00,,,Newsletter,Mercy Otieno,Chiffon Cosmetics,Kenya
84,grace.kamau84@example.com,Grace,Kamau,Customer,Referral,,2025-08-19 00:00:00,2025-10-16,1089.38,Seasonal Email,Samuel Ndegwa,Coastal Beauty,Kenya
85,michael.mutua85@example.com,Michael,Mutua,Sales Qualified Lead,Paid Search,Paid Search,2025-03-10 00:00:00,,,Newsletter,John Kamau,Nairobi Retailers,Kenya
86,brian.wanyoike86@example.com,Brian,Wanyoike,Lead,Social Media,Social Media,2025-04-19 00:00:00,,,Newsletter,Client Success Team,BeautyWorld KE,Kenya
87,brian.wanyoike87@example.com,Brian,Wanyoike,Customer,Email,,2025-09-07 00:00:00,2025-10-06,818.88,New Store Launch,Samuel Ndegwa,Nairobi Retailers,Kenya
88,aisha.njoroge88@example.com,Aisha,Njoroge,Marketing Qualified Lead,Paid Search,Paid Search,2025-08-07 00:00:00,,,Valentine Push,Samuel Ndegwa,Nairobi Retailers,Kenya
89,fatuma.okello89@example.com,Fatuma,Okello,Sales Qualified Lead,Referral,,2025-11-10 00:00:00,,,Chiffon Brand Awareness,Client Success Team,Coastal Beauty,Kenya
